DISTANCIA   VECES QUE SE REPITE
1162.2     ->        1
1270.4     ->        1
1278.1     ->        1
1289.8     ->        1
1294.8     ->        1
1297.6     ->        1
1307.8     ->        1
1309.7     ->        1
1316.7     ->        1
1322.6     ->        1
1333.3     ->        1
1335.5     ->        1
1336.4     ->        1
1336.5     ->        1
 1337     ->        1
1337.4     ->        1
1338.4     ->        1
1339.2     ->        1
1347.3     ->        1
1351.7     ->        1
1352.9     ->        1
1360.3     ->        1
1368.8     ->        1
1374.7     ->        1
1375.7     ->        1
1376.4     ->        1
1386.5     ->        1
1387.6     ->        1
1389.8     ->        1
1392.6     ->        1
1393.9     ->        1
1395.4     ->        1
1396.1     ->        1
1397.5     ->        1
1398.4     ->        1
1398.9     ->        1
1405.8     ->        1
1406.4     ->        1
1406.5     ->        2
1407.6     ->        1
1409.3     ->        1
1410.9     ->        1
1415.1     ->        1
1416.8     ->        1
1418.4     ->        1
1420.8     ->        1
1421.5     ->        1
1422.6     ->        1
1422.7     ->        1
1425.1     ->        1
1430.8     ->        1
1431.1     ->        1
1433.5     ->        1
1436.6     ->        1
1437.8     ->        1
1438.7     ->        1
1441.7     ->        1
1442.3     ->        1
 1443     ->        1
1443.5     ->        1
1443.7     ->        1
 1444     ->        1
1445.9     ->        1
1447.5     ->        1
1448.1     ->        1
1449.9     ->        1
1451.2     ->        1
1451.3     ->        1
1452.4     ->        1
1453.3     ->        2
1454.8     ->        1
1456.6     ->        1
 1458     ->        1
1458.6     ->        3
1462.2     ->        1
1462.8     ->        1
1463.4     ->        1
1464.8     ->        1
1465.1     ->        1
1466.3     ->        1
1469.8     ->        1
1471.2     ->        1
1472.6     ->        1
1473.5     ->        2
1473.9     ->        1
 1475     ->        1
1475.4     ->        1
1476.2     ->        1
1476.7     ->        1
1477.3     ->        1
1480.2     ->        1
1481.7     ->        1
1484.2     ->        1
1484.8     ->        1
1486.6     ->        1
1486.8     ->        1
1488.6     ->        1
1489.2     ->        1
1489.6     ->        1
1491.7     ->        1
1492.1     ->        1
1492.3     ->        1
1492.4     ->        1
1492.7     ->        1
1493.2     ->        1
1493.7     ->        1
1493.9     ->        1
1495.1     ->        1
1495.6     ->        1
 1496     ->        1
1496.7     ->        1
1498.1     ->        1
1498.5     ->        1
1498.8     ->        1
1498.9     ->        1
1499.6     ->        1
1500.2     ->        1
1501.5     ->        1
1502.5     ->        1
1502.6     ->        1
1503.1     ->        1
1503.9     ->        1
1504.5     ->        1
1506.6     ->        2
 1507     ->        1
1507.5     ->        1
 1509     ->        1
1509.8     ->        1
1510.4     ->        1
1510.8     ->        2
1510.9     ->        1
1511.9     ->        1
1512.2     ->        1
1512.4     ->        1
1513.1     ->        1
1513.9     ->        1
1514.7     ->        1
1516.4     ->        1
1517.2     ->        1
1517.5     ->        1
1517.6     ->        2
1517.8     ->        1
1518.8     ->        1
1520.1     ->        1
1520.3     ->        1
1520.9     ->        1
1521.5     ->        1
1521.9     ->        1
1522.4     ->        1
1522.7     ->        1
1523.4     ->        1
1523.6     ->        1
1524.7     ->        1
1525.1     ->        1
1525.5     ->        1
1525.8     ->        1
1526.2     ->        1
1527.2     ->        1
1527.8     ->        1
1527.9     ->        1
1529.1     ->        1
1529.5     ->        1
1529.7     ->        1
1530.4     ->        1
1530.6     ->        1
1530.9     ->        1
 1531     ->        1
1531.3     ->        1
1531.9     ->        3
1532.4     ->        1
1532.7     ->        1
 1533     ->        1
1535.1     ->        1
1535.2     ->        1
1535.4     ->        1
1535.6     ->        1
1535.8     ->        1
 1536     ->        1
1538.4     ->        1
1538.8     ->        1
 1539     ->        1
1539.4     ->        2
 1540     ->        1
1540.2     ->        1
1540.8     ->        1
1541.7     ->        1
1542.4     ->        1
1542.6     ->        1
 1543     ->        2
1543.1     ->        1
1543.6     ->        1
1544.6     ->        1
1544.7     ->        1
1545.5     ->        1
 1546     ->        1
 1548     ->        1
1548.2     ->        1
1548.4     ->        1
1548.7     ->        1
1548.9     ->        1
1549.1     ->        2
1549.3     ->        1
1549.7     ->        1
1550.6     ->        1
1550.8     ->        1
1551.1     ->        1
1551.3     ->        1
1551.4     ->        1
1552.7     ->        1
 1553     ->        1
1553.4     ->        1
1553.9     ->        1
1554.5     ->        1
1554.6     ->        1
1554.9     ->        1
 1555     ->        1
1555.6     ->        1
1555.7     ->        1
 1556     ->        1
1556.2     ->        2
1556.9     ->        1
1557.4     ->        1
1558.4     ->        1
1558.8     ->        1
 1559     ->        1
1559.1     ->        1
1559.8     ->        1
1560.3     ->        1
1560.5     ->        1
1560.9     ->        1
 1561     ->        1
1561.1     ->        1
1561.4     ->        1
1562.2     ->        1
1562.3     ->        1
1562.4     ->        1
1562.6     ->        2
1562.9     ->        1
1563.5     ->        1
1563.7     ->        1
1563.8     ->        1
1563.9     ->        1
1564.2     ->        2
1564.7     ->        1
1565.1     ->        1
1565.2     ->        1
1565.6     ->        1
1565.8     ->        1
1566.2     ->        2
1566.5     ->        1
1566.9     ->        1
1567.1     ->        1
1567.3     ->        2
1567.5     ->        1
1567.6     ->        1
1567.8     ->        1
 1568     ->        1
1568.6     ->        1
1568.9     ->        1
 1569     ->        1
1569.3     ->        1
1569.5     ->        1
1570.2     ->        1
1570.5     ->        1
1571.3     ->        1
1572.3     ->        2
1572.4     ->        1
1572.8     ->        1
1572.9     ->        1
 1573     ->        1
1574.1     ->        1
1574.3     ->        1
1574.5     ->        1
1574.8     ->        1
1575.1     ->        1
1575.2     ->        1
1575.3     ->        1
1575.4     ->        1
1575.9     ->        2
1576.2     ->        1
1576.5     ->        1
1577.2     ->        1
1577.3     ->        2
1577.6     ->        1
1577.8     ->        1
1577.9     ->        1
 1578     ->        1
1578.3     ->        2
1578.6     ->        1
1578.9     ->        1
 1579     ->        1
1579.5     ->        1
1579.8     ->        1
1580.6     ->        1
1580.9     ->        1
 1581     ->        1
1581.5     ->        1
1582.1     ->        2
1582.9     ->        1
1583.8     ->        1
 1584     ->        1
1584.5     ->        1
1584.8     ->        1
1584.9     ->        1
1585.3     ->        1
1585.4     ->        1
 1586     ->        1
1586.7     ->        1
1586.9     ->        1
